Earnings Binder Metric Definitions												
												
#	Metric	Definition	Specifications	PFIT Field Mappings	Automated Capture Process	Working Day Input Timing	Data Sources (SOR)	Report Frequency	Metric Destination	Metric Business Approver	Mertic Data Steward	Comments
12	Authorized Payment Volume	Total authorized payment volume on the Braintree platform for a given reporting period.	Loaded Braintree Metric	Loaded Braintree Metric								Loaded Braintree Metric
13	Average Loans Month	Average Loans Receivable in a given reporting month.  Defined as the average of the of the month end and month beginning Loans Receivable.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
14	Average Loans Quarter	Average Loans Receivable in a given reporting quarter.  Defined as the average of the of the quarter end and quarter beginning Loans Receivable.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
15	Average Loans Year	Average Loans Receivable in a given reporting year.  Defined as the average of the of the year end and year beginning Loans Receivable.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
16	BML 90+ Day Delinquency	Value of 90+ Day Delinquencies at the end of the given reporting period.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
17	BML on Ebay nTPV	nTPV (as defined below) for Bill Me Later payments made on eBay.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
18	BML on Paypal nTPV	nTPV (as defined below) for Bill Me Later payments made on PayPal.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
19	Cards on File	Count of cards on file on the Braintree platform.	Loaded Braintree Metric	Loaded Braintree Metric								Loaded Braintree Metric
20	Cumulative Loans	Calculated metric defined as the sum of the Loans Originated for a given reporting period.	"Calculated metric, see base metric definitions. 

Base Metric: Loans Originated"	"Calculated metric, see base metric definitions"								Calculated in Credit Report
21	FXN Revenue YoY Growth (%)	"The FX Neutral Revenue YoY Growth Rate is calculated offline and manually loaded.  External FX neutral is defined as “Current quarter local currency converted to USD using an average quarterly spot rate of the Prior Year, Same Quarter and comparing that to the actual reported numbers results (at spot rates) of the same Prior Year, Prior Quarter (for example: Q1’15 FXN   growth is calculated as Q1’15 local currency converted to USD using the average quarterly spot rate of Q1’14 and comparing that to the actual reported results (at spot rates)bof Q1’14)."	Manually loaded via adjustments template.	Manually loaded via adjustments template.								Manually loaded via adjustments template.
22	Loans Originated	Total loans originated for a given reporting period.	Loaded Credit Metric	Loaded Credit Metric								Loaded Credit Metric
23	MS and MP Revenue	"Merchant Services (MS) and Marketplaces (MP)Revenue defined as the sum of GL accounts: 401035, 401077, 401076, 401161 for core Merchant Service and Marketplaces payment flows."	"Based on GL Accounts 401035, 401077, 4010-76 and 401161 for MS and MP payment flows"	"Payment flow -  WV_RDL_ZAFI______Z_SLPDD-/BIC/ZCPAYKEY
Region –  WV_RDL_ZAFI______Z_SLPDD-/BIC/ZCCTRYACC
Reason Code - WV_RDL_ZAFI______Z_SLPDD-/BIC/ZCRSNCOD
Sub ledger Acct - WV_RDL_ZAFI______Z_SLPDD-/BA1/C55SLACC
See ""MS, MP Subledger Mapping"" tab for PFIT field specifics."								
24	Net Charge Off Rate %	"The Net Charge Off Rate % refers to the net credit losses divided by the total average loans over a given time period.

Calculation: (Net Credit Loss $ / Average Loans Receivable) * (360 / # of days in given reporting period)

Additional Calculations to calculate above calculation for a given period: 
Net Credit Loss $ = ""744003"" + ""744007"" + ""744008"" + ""744009"" + ""744014"" + ""744022"""	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and Average Loans"	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and Average Loans"								Calculated in Credit Report
25	New Mobile Activations	"Count of new mobile activations in a given reporting period, includind PayPal core and Venmo. 

A mobile activation is defined as the first time a mobile payment is sent.  This determination is based on the date of the first sender event for an account and the Payment Flow sub flow indicator of mobile."	Venmo is manually loaded.  PayPal core is loaded from EDW through Essbase.	Venmo is manually loaded.  PayPal core is loaded from EDW through Essbase.								Venmo is manually loaded.  PayPal core is loaded from EDW through Essbase.
26	No of Payments Rec	"Number of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period."	"TRANSACTION TYPE: “U” Payment Transaction
nTPV Impact Flag = Yes
PAYMENT OFFICIAL FLAG: Flag value needs to be set to ‘00’ (Official Payment)
REVERSAL STATUS: 
‘00’ – “Not Reversed”
‘01’ – “Partial Reversal”
‘02’ – “Full Reversal”
"	"Transaction type  - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCTRANTYP
Official payment indicator - AV_BV_RDL_ZAFI______Z_SLPD- /BIC/ZCOFFPMT
Transaction Status - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCSTATUS
"								
27	No of Payments Mobile Rec	The number of mobile payments received (as defined above) for a given reporting period.	"Same as No of Payments but with the following additional criteria:
Payment Flow - Contains ""mobile"" in sub flow, flow family, or primary flow"	"Mobile – From Payment Flow
Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY
"								Mobile is determined by Payment Flow
28	No of Payments P2P Rec	The number of P2P payments received (as defined above) for a given reporting period.	"Same as No of Payments but with the following additional criteria:
1. Payment Flow - Sub flow contains ""Send Money"", ""Legacy WAP"", ""P2P"", or ""Money Request""
2. Transaction Subtype G, H or S"	"Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY
P2P:
– Transaction Subtype G, H or S 
- Payment Flow = (Send Money, Legacy WAP, P2P, Money request)
"								
29	No of Payments XB Rec	The number of cross border (CBT) payments received (as defined above) for a given reporting period.  A cross border transaction is a transaction in which the sender and reciever accounts are located in different countries.	"Same as No of Payments but with the following additional criteria:
Account Table - Sender and receiver accounts are in different countries"	"CBT is determined by:
– RDL table - <INTRA/CROSSBORDER TNX> (ZCINTCRSB) (and by Sender or receiver Flag)
"								
30	nTPV Rec	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period."	"TRANSACTION TYPE: “U” Payment Transaction
REVERSAL STATUS: 
‘00’ – “Not Reversed”
‘01’ – “Partial Reversal”
‘02’ – “Full Reversal”
PAYMENT OFFICIAL FLAG: Flag value needs to be set to ‘00’ (Official Payment)
PAYMENT SENT / RECEIVED FLAG: Flag value has to be ‘00’ (Sent) (will be used to get 1 side of the transaction)
nTPV Impact Flag = Yes – From RDL table
"	"Transaction Amount – Absolute of Transaction Amount
Transaction type  - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCTRANTYP
Reversal Status - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCSTATUS
Official payment indicator - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCOFFPMT
Sender or receiver flag - AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCSENDREC
nTPV Impact Flag"								
31	nTPV ACH	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with ACH as the funding source."	"Same as nTPV - Rec but with the following additional criteria:
Funding Source of ACH"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
32	nTPV Buyer Credit	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with Buyer Credit as the funding source."	"Same as nTPV - Rec but with the following additional criteria:
Funding Source of Buyer Credit"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
33	nTPV Card	nTPV Card is defined as the sum of of nTPV Credit Card and nTPV Debit Card.	Calculated as the sum of nTPV Credit Card and nTPV Debit Card	Calculated as the sum of nTPV Credit Card and nTPV Debit Card								Calculated as the sum of nTPV Credit Card and nTPV Debit Card
34	nTPV Credit Card	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with Credit Card as the funding source."	"Same as nTPV - Rec but with the following additional criteria:
Funding Source of Credit Card"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
35	nTPV Debit Card	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with Debit Card as the funding source."	"Same as nTPV - Rec but with the following additional criteria:
Funding Source of Debit Card"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
36	nTPV FX Neutral Rec	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period at the FX Neutral rate.  

External FX neutral is defined as “Current quarter local currency converted to USD using an average quarterly spot rate of the Prior Year, Same Quarter and comparing that to the actual reported numbers results (at spot rates) of the same Prior Year, Prior Quarter (for example: Q1’15 FXN   growth is calculated as Q1’15 local currency converted to USD using the average quarterly spot rate of Q1’14 and comparing that to the actual reported results (at spot rates)bof Q1’14)."	Same as nTPV - Rec but translated at the respective quarterly average historical rate to determine the FX Neutral value.									
37	nTPV LM Rec	"The value of Large Merchant (LM) payments received, net of payment reversals, successfully compeleted through the Payments Platform for a given reporting period.

A Large Merchant is defined as a Merchant account with a TPV > $1.2 Million over the past 12 months."	Same as nTPV - Rec but filtered on Merchants with $1.2 million or greater of payment value over the past 2 months.	Same as nTPV - Rec but filtered on Merchants with $1.2 million or greater of payment value over the past 2 months.								
38	nTPV Mobile Rec	"The value of Mobile payments received, net of payment reversals, successfully compeleted through the Payments Platform for a given reporting period."	"Same as nTPV - Rec but with the following additional criteria:
Payment Flow - Contains ""mobile"" in sub flow, flow family, or primary flow"	"Mobile – From Payment Flow
Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY"								Mobile is determined by Payment Flow
39	nTPV Other Payment	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with Other Payments as the funding source. "	"Same as nTPV - Rec but with the following additional criteria:
Funding Source not equal to ACH, Buyer Credit, Credit Card, Debit Card nor PayPal Balance"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
40	nTPV P2P Rec	"The value of P2P payments received, net of payment reversals, successfully compeleted through the Payments Platform for a given reporting period."	"Same as nTPV - Rec but with the following additional criteria:
1. Payment Flow - Sub flow contains ""Send Money"", ""Legacy WAP"", ""P2P"", or ""Money Request""
2. Transaction Subtype G, H or S"	"Payment flow -  AV_BV_RDL_ZAFI______Z_SLPD-/BIC/ZCPAYKEY
P2P:
– Transaction Subtype G, H or S 
- Payment Flow = (Send Money, Legacy WAP, P2P, Money request)
"								
41	nTPV Paypal Balance	"The value of payments received, net of payment reversals, successfully completed through the Payments Platform for a given reporting period with PayPal Balance as the funding source."	"Same as nTPV - Rec but with the following additional criteria:
Funding Source of PayPal Balance"	"Funding Source – From RDL Payment Transaction, get all transactions for Payment Id and get to funding (transaction type) of all transactions"								Funding Mix is determined by Transaction Type field
42	nTPV XB Rec	"The value of Cross Border (CBT) payments received, net of payment reversals, successfully compeleted through the Payments Platform for a given reporting period."	"Same as nTPV - Rec but with the following additional criteria:
Account Table - Sender and receiver accounts are in different countries"	"CBT is determined by:
– RDL table - <INTRA/CROSSBORDER TNX> (ZCINTCRSB) (and by Sender or receiver Flag)
"								
43	nTPV XB Sdr	"The value of Cross Border (CBT) payments sent, net of payment reversals, successfully compeleted through the Payments Platform for a given reporting period."	"Same as nTPV - Rec but with the following additional criteria:
Account Table - Sender and receiver accounts are in different countries
Value of Payments Sent, instead of Received"	"CBT is determined by:
– RDL table - <INTRA/CROSSBORDER TNX> (ZCINTCRSB) (and by Sender or receiver Flag)
"								
44	RAM Margin %	"Risk Adjusted Margin % is a calculated Credit metric defined as the Risk Adjusted Margin as a percentage of the Average Loans for the given time period.

Calculation: (RAM Margin $ / Average Loans Receivable) * (365/#of days in given reporting period)

Additional Calculations to calculate above calculation for a given period: 
RAM Margin $ = Revenue Margin $ + Cost of Funds Margin $ + Credit Loss and Fraud Margin $
Revenue Margin $ = Net Revenue - (421026 + 404016 + 404021 + 404022 + 404026+ 404046 + 404040)
Cost of Funds Margin $ = - ( ""550008"" + ""550009"")
Credit Loss and Fraud Margin $ =- (""744037"" + ""744020"" + ""744003"" + ""744007"" + ""744008"" + ""744009"" + ""744014"" + ""744022"" + ""744024"" )"	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and Average Loans"	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and Average Loans"								Calculated in Credit Report
45	Take Rate	"Take Rate is a calculated metric defined as below for a given reporting period:

Revenue / nTPV - Rec"	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
46	TPA	"Transactions per Active Accounts is a calculated metric defined as below for a given month:

Sum of No of Payments for trailing 12 months / Active Accounts"	"Calculated metric, see base metric definitions"	"Calculated metric, see base metric definitions"								
47	90+ Day Delinquency Rate %	"90+ Day Credit Delinquency Rate defined as the value of 90+ Day Delinquencies at quarter end divided by total endling loan receivables amount.

Calculation: (Bill Me Later 90+ Delinquency for Quarter End Month / Ending Loans Before Paricipation for Quarter End Month

Additional calculations to calculate above calculation for a given period: 
Ending Loans Before Participation: ""Bill Me Later Gross Ending Loans Receivable"" - ""Ending Loans Before Participation-Load"" - ""112645 - BL ST"" - ""112647 - BL ST"";"	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and 90+ Day Delinquency Loans $"	"Calculated metric, see base metric definitions. 

Base Metric: GL Accounts and 90+ Day Delinquency Loans $"								Calculated in Credit Report
